U, real, imaginary, magnitude, phase
0,99.99609375,0.0,99.99609375,0.0
1,-2.3869795029440866E-15,-1.2533377113932431E-16,2.39026770502034E-15,0.0
2,6.38378239159465E-16,-6.509549843602969E-16,9.117396382168834E-16,0.0
3,-9.020562075079397E-15,-6.401129626354418E-16,9.043245255730636E-15,0.0
4,16.63917983512926,8.640657633840476E-15,16.63917983512926,5.192958859425269E-16
5,-6.9111383282915995E-15,2.847548585815929E-15,7.474781999587914E-15,0.0
6,-4.9682480351975755E-15,-3.5796018926781414E-15,6.123482526251668E-15,0.0
7,-5.3013149425851225E-15,5.93275428784068E-16,5.334408669653575E-15,0.0
8,16.690694327617532,2.043330782353081E-14,16.690694327617532,1.22423354130454E-15
9,-1.84297022087776E-14,-1.7867651802561113E-15,1.851611334253486E-14,0.0
10,-4.9404924595819466E-15,2.6315755130568164E-15,5.597647311514572E-15,0.0
11,-2.6173507805538065E-14,2.42861286636753E-17,2.6173519072960128E-14,0.0
12,0.011690924276599762,5.724587470723463E-16,0.011690924276599762,4.896608116931903E-14
13,6.5780714209040525E-15,2.96637714392034E-16,6.584756453515528E-15,0.0
14,-5.773159728050814E-15,8.930356454328603E-15,1.063393810622181E-14,0.0
15,9.825473767932635E-15,6.765421556309548E-16,9.848738195965923E-15,0.0
16,16.68832440433135,3.31193406033492E-14,16.68832440433135,1.9845815434144654E-15
17,7.438494264988549E-15,1.1633055629900468E-14,1.3807939028639521E-14,0.0
18,-1.2684298056342413E-14,3.54230533794464E-15,1.3169637211759595E-14,0.0
19,-2.609024107869118E-14,-1.7937040741600185E-15,2.6151826969637952E-14,0.0
20,-0.016925593477481543,1.1310397063368782E-15,0.016925593477481543,-6.682422733605511E-14
21,2.3869795029440866E-15,-5.124373148035488E-15,5.65304089033348E-15,0.0
22,-3.422262473407045E-14,-5.2562121322097255E-15,3.4623919617336786E-14,0.0
23,-2.9476421303797906E-14,4.884981308350689E-15,2.98784613938189E-14,0.0
24,0.023485247270603526,1.2871648191747909E-15,0.023485247270603526,5.480737776970032E-14
25,1.942890293094024E-15,-2.1163626406917047E-15,2.8729450948311818E-15,0.0
26,1.0436096431476471E-14,2.6645352591003757E-15,1.0770880041763767E-14,0.0
27,-2.1149748619109232E-14,-1.9144408280880043E-14,2.852753468276818E-14,0.0
28,-0.005622292891337144,3.635980405647388E-15,0.005622292891337144,-6.467077535661161E-13
29,-2.8033131371785203E-15,-1.547373340571312E-15,3.2020194877902444E-15,0.0
30,-2.808864252301646E-14,-4.8155923693116165E-15,2.849845203959648E-14,0.0
31,-1.534883331544279E-14,-1.9637069748057456E-15,1.547394032650208E-14,0.0
32,-0.017306117182199154,4.010680676458378E-15,0.017306117182199154,-2.3174930772939127E-13
33,4.6074255521944E-15,-1.6375789613221059E-15,4.889788857770717E-15,0.0
34,8.659739592076221E-15,8.326672684688674E-17,8.66013990362582E-15,0.0
35,-1.6958656701149266E-14,-1.7194579093882112E-14,2.4150560807633488E-14,0.0
36,0.023150782556130706,-3.684552662974738E-15,0.023150782556130706,-1.5915456222878343E-13
37,2.7949864644938316E-14,1.411995520506082E-13,1.439392525788667E-13,0.0
38,-2.0289325775024736E-14,1.3461454173580023E-15,2.0333933409199436E-14,0.0
39,-2.4452662117369073E-14,-1.0332013022917863E-14,2.654586931580808E-14,0.0
40,-0.007111877802735034,-3.809452753245068E-15,0.007111877802735034,5.356465421523493E-13
41,-2.886579864025407E-14,-6.3352101342672995E-15,2.955282082280839E-14,0.0
42,2.55351295663786E-15,-6.050715484207103E-15,6.567464220727893E-15,0.0
43,-1.8068879725774423E-14,4.933553565678039E-15,1.873030606610358E-14,0.0
44,0.03975675502522713,3.7470027081099033E-16,0.03975675502522713,9.424820274522635E-15
45,0.0,6.543376951384516E-15,6.543376951384516E-15,0.0
46,-2.5368596112684827E-14,-6.557254739192331E-15,2.62023521547816E-14,0.0
47,-8.43769498715119E-15,9.159339953157541E-16,8.487262914507326E-15,0.0
48,0.0022341445330425758,-5.856426454897701E-15,0.0022341445330425758,-2.62132837347014E-12
49,-8.326672684688674E-16,-1.6590895324242183E-14,1.6611777220994164E-14,0.0
50,-5.9119376061289586E-15,1.1171619185290638E-15,6.016565217046462E-15,0.0
51,-3.222422328974517E-14,-1.4099832412739488E-14,3.517393695187808E-14,0.0
52,-0.004786733949156158,6.987466161234579E-15,0.004786733949156158,-1.4597565345085418E-12
53,-1.3072876114961218E-14,-7.147060721024445E-15,1.4899012278239587E-14,0.0
54,-2.8727020762175925E-14,-5.023759186428833E-15,2.916298815680099E-14,0.0
55,1.6736612096224235E-14,2.831068712794149E-15,1.6974366984251322E-14,0.0
56,-0.0038396984686878133,9.936496070395151E-15,0.0038396984686878133,-2.587832391378084E-12
57,1.2961853812498703E-14,2.8907432003677513E-14,3.168042422859622E-14,0.0
58,-6.217248937900877E-15,-1.9068080447937064E-14,2.0056068316717246E-14,0.0
59,-2.6173507805538065E-14,-8.298917109073045E-15,2.7457686283258233E-14,0.0
60,0.006597626869656453,1.7763568394002505E-15,0.006597626869656453,2.692417856441687E-13
61,-8.243405957841787E-15,3.241851231905457E-14,3.345016715603189E-14,0.0
62,-1.1324274851176597E-14,1.061650767297806E-14,1.5522546056475166E-14,0.0
63,2.220446049250313E-15,-1.2739809207573671E-14,1.2931864494457487E-14,0.0
64,0.012362439064788122,3.2612801348363973E-15,0.012362439064788122,2.638055579279243E-13
65,-2.6145752229922437E-14,-1.4016565685892601E-14,2.966588062565202E-14,0.0
66,-1.2212453270876722E-15,5.412337245047638E-16,1.3358046614212626E-15,0.0
67,-1.50712775592865E-14,-3.3306690738754696E-15,1.5434920270241867E-14,0.0
68,-0.008790071211704553,-1.1921019726912618E-14,0.008790071211704553,1.3561914846649937E-12
