U, Gaussian Value, Fourier Value
0,0.0,2.4736005215090527E-5
1,0.0,2.552748731849515E-5
2,0.0,2.6357573637299406E-5
3,0.0,2.722881612105864E-5
4,0.0,2.8143981128015974E-5
5,0.0,2.9106071410724297E-5
6,0.0,3.0118350777463627E-5
7,0.0,3.118437180821023E-5
8,0.0,3.2308007065312754E-5
9,0.0,3.349348431169025E-5
10,0.0,3.4745426335601954E-5
11,0.0,3.6068896083693095E-5
12,0.0,3.74694479265989E-5
13,0.0,3.895318602822867E-5
14,0.0,4.0526830966342E-5
15,0.0,4.21977959648911E-5
16,0.0,4.397427435625442E-5
17,0.0,4.586534020451792E-5
18,0.0,4.788106440274974E-5
19,0.0,5.0032649024749544E-5
20,0.0,5.233258328670254E-5
21,0.0,5.479482518431186E-5
22,0.0,5.743501375213259E-5
23,0.0,6.0270717990393835E-5
24,0.0,6.332172988107246E-5
25,0.0,6.661041064871004E-5
26,0.0,7.016210161714342E-5
27,0.0,7.40056138100441E-5
28,0.0,7.817381402698358E-5
29,0.0,8.27043297483717E-5
30,0.0,8.764040122244898E-5
31,0.0,9.303191693149472E-5
32,0.0,9.893667896574153E-5
33,0.0,1.0542195854809137E-4
34,0.0,1.125664203104373E-4
35,0.0,1.2046251871267213E-4
36,0.0,1.29219503787327E-4
37,0.0,1.3896721991649982E-4
38,0.0,1.4986094608564882E-4
39,0.0,1.6208761717297925E-4
40,0.0,1.758738956442002E-4
41,0.0,1.914967504062816E-4
42,0.0,2.092974739143542E-4
43,0.0,2.2970047645845757E-4
44,0.0,2.532388129651599E-4
45,1.0E-8,2.8058934625390004E-4
46,4.0E-8,3.1262193955984265E-4
47,2.7E-7,3.504694590377771E-4
48,1.6E-6,3.9562928911906505E-4
49,8.46E-6,4.5011367818529094E-4
50,4.007E-5,5.166777206332734E-4
51,1.6986E-4,5.991744058126191E-4
52,6.4438E-4,7.031245987898635E-4
53,0.00218749,8.366645603204506E-4
54,0.00664501,0.0010121862773065456
55,0.01806301,0.0012493160674030262
56,0.04393693,0.0015806411127169307
57,0.09563444,0.0020635123699297123
58,0.18627046,0.002806578272493995
59,0.32465247,0.0040364880757099465
60,0.50633562,0.006292724832125705
61,0.70664828,0.011132579720891595
62,0.8824969,0.02470452303185764
63,0.98620712,0.09199966835037524
64,0.98620712,1.0
65,0.8824969,0.09199966835037524
66,0.70664828,0.02470452303185764
67,0.50633562,0.011132579720891595
68,0.32465247,0.006292724832125705
69,0.18627046,0.0040364880757099465
70,0.09563444,0.002806578272493995
71,0.04393693,0.0020635123699297123
72,0.01806301,0.0015806411127169307
73,0.00664501,0.0012493160674030262
74,0.00218749,0.0010121862773065456
75,6.4438E-4,8.366645603204506E-4
76,1.6986E-4,7.031245987898635E-4
77,4.007E-5,5.991744058126191E-4
78,8.46E-6,5.166777206332734E-4
79,1.6E-6,4.5011367818529094E-4
80,2.7E-7,3.9562928911906505E-4
81,4.0E-8,3.504694590377771E-4
82,1.0E-8,3.1262193955984265E-4
83,0.0,2.8058934625390004E-4
84,0.0,2.532388129651599E-4
85,0.0,2.2970047645845757E-4
86,0.0,2.092974739143542E-4
87,0.0,1.914967504062816E-4
88,0.0,1.758738956442002E-4
89,0.0,1.6208761717297925E-4
90,0.0,1.4986094608564882E-4
91,0.0,1.3896721991649982E-4
92,0.0,1.29219503787327E-4
93,0.0,1.2046251871267213E-4
94,0.0,1.125664203104373E-4
95,0.0,1.0542195854809137E-4
96,0.0,9.893667896574153E-5
97,0.0,9.303191693149472E-5
98,0.0,8.764040122244898E-5
99,0.0,8.27043297483717E-5
100,0.0,7.817381402698358E-5
101,0.0,7.40056138100441E-5
102,0.0,7.016210161714342E-5
103,0.0,6.661041064871004E-5
104,0.0,6.332172988107246E-5
105,0.0,6.0270717990393835E-5
106,0.0,5.743501375213259E-5
107,0.0,5.479482518431186E-5
108,0.0,5.233258328670254E-5
109,0.0,5.0032649024749544E-5
110,0.0,4.788106440274974E-5
111,0.0,4.586534020451792E-5
112,0.0,4.397427435625442E-5
113,0.0,4.21977959648911E-5
114,0.0,4.0526830966342E-5
115,0.0,3.895318602822867E-5
116,0.0,3.74694479265989E-5
117,0.0,3.6068896083693095E-5
118,0.0,3.4745426335601954E-5
119,0.0,3.349348431169025E-5
120,0.0,3.2308007065312754E-5
121,0.0,3.118437180821023E-5
122,0.0,3.0118350777463627E-5
123,0.0,2.9106071410724297E-5
124,0.0,2.8143981128015974E-5
125,0.0,2.722881612105864E-5
126,0.0,2.6357573637299406E-5
127,0.0,2.552748731849515E-5
