U, real, imaginary, magnitude, phase
0,0.0,-3.0245073740886313E-16,3.0245073740886313E-16,0.0
1,1.9178611022636097E-4,-0.007812500000000135,0.007814853687822816,-1.546252634188678
2,-8.673617379884035E-17,-6.402213828526904E-16,6.460701068050384E-16,0.0
3,-5.762846212692301E-4,0.007812499999999797,0.007833725819474936,-1.4971652489763718
4,1.012211148232467E-15,-3.716645047280309E-16,1.078288418133489E-15,0.0
5,9.635799698178497E-4,-0.007812499999999883,0.007871698838766148,-1.4480778637640965
6,4.614364446098307E-16,-3.0140820395097023E-16,5.511537878152621E-16,0.0
7,-0.0013555973448272332,0.007812499999999882,0.0079292370636336,-1.398990478551673
8,5.0306980803327406E-17,-1.7911019889460533E-16,1.8604100533380117E-16,0.0
9,0.0017543555415400988,-0.007812500000000038,0.008007054365753554,-1.349903093339362
10,-1.240327285323417E-16,-7.979727989493313E-17,1.4748465556052897E-16,0.0
11,-0.0021620099229721686,0.007812499999999998,0.008106136142270872,-1.300815708127002
12,2.7668839441830073E-16,-1.8735013540549517E-16,3.341504763459638E-16,0.0
13,0.002580901385502786,-0.007812500000000291,0.0082277705492858,-1.2517283229146738
14,-3.400058012914542E-16,-2.6020852139652106E-17,3.410000434866797E-16,0.0
15,-0.0030136137989926256,0.007812499999999912,0.008373590889187111,-1.2026409377023957
16,-1.7780915628762273E-16,-8.673617379884035E-18,1.7802058223185563E-16,0.0
17,0.003463043077272321,-0.007812500000000028,0.008545631843523577,-1.1535535524900096
18,-1.403391292065237E-15,-9.194034422677078E-17,1.4063997104454595E-15,0.0
19,-0.003932482029682056,0.007812499999999358,0.008746403327297585,-1.1044661672776217
20,-3.9898639947466563E-17,7.806255641895632E-17,8.766791992696253E-17,0.0
21,0.004425726583830734,-0.007812499999999958,0.008978987250510238,-1.0553787820653264
22,9.280770596475918E-17,-3.0444397003392965E-16,3.1827566852723984E-16,0.0
23,-0.004947211063887026,0.007812500000000142,0.00924716462277213,-1.0062913968530103
24,1.6349768761081407E-16,-4.85722573273506E-17,1.7056013026483565E-16,0.0
