U, real, imaginary, magnitude, phase
0,-4.198030811863873E-16,0.0,4.198030811863873E-16,0.0
1,4.85722573273506E-17,-3.881443777498106E-17,6.21757570252445E-17,0.0
2,-1.8388068845354155E-16,-1.0256552551712872E-16,2.1055116862832462E-16,0.0
3,-1.3877787807814457E-16,4.336808689942018E-17,1.4539632184201916E-16,0.0
4,-2.0816681711721685E-17,4.9439619065339E-17,5.364336092018247E-17,0.0
5,-2.5326962749261384E-16,-2.6020852139652106E-18,2.532829940159981E-16,0.0
6,-6.938893903907228E-18,4.2500725161431774E-17,4.3063440269644515E-17,0.0
7,-2.2898349882893854E-16,-2.3158558404290375E-16,3.2567671926687567E-16,0.0
8,1.4999999999999998,-0.4999999999999999,1.5811388300841893,-0.3217505543966422
9,-1.5959455978986625E-16,6.938893903907228E-18,1.5974533408876415E-16,0.0
10,1.8735013540549517E-16,1.3183898417423734E-16,2.290886094605146E-16,0.0
11,-7.91033905045424E-16,-1.97758476261356E-16,8.153790859867735E-16,0.0
12,-3.0184188481996443E-16,-3.5214886562329184E-16,4.638074460284569E-16,0.0
13,-4.336808689942018E-17,-1.6479873021779667E-16,1.7040954328532715E-16,0.0
14,-2.463307335887066E-16,-1.214306433183765E-16,2.7463472367321857E-16,0.0
15,-1.0408340855860843E-17,-1.7520707107365752E-16,1.755159574328826E-16,0.0
16,1.9463597400459776E-15,6.019490461639521E-16,2.0373165909719425E-15,0.0
17,-8.673617379884035E-17,6.418476861114186E-16,6.476817243151491E-16,0.0
18,2.1337098754514727E-16,-3.122502256758253E-17,2.1564364205869235E-16,0.0
19,-3.86843335142828E-16,-1.6289053439422219E-15,1.6742103767053753E-15,0.0
20,-2.7755575615628914E-17,1.7694179454963432E-16,1.7910547349592614E-16,0.0
21,-6.245004513516506E-17,-1.4224732503009818E-16,1.5535221149247456E-16,0.0
22,-3.7990444123892075E-16,-1.4224732503009818E-16,4.0566203415068927E-16,0.0
23,3.122502256758253E-16,3.122502256758253E-17,3.1380759307089726E-16,0.0
24,-9.011888457699513E-16,4.544975507059235E-16,1.0093113292427965E-15,0.0
25,-3.0270924655795284E-16,4.3021142204224816E-16,5.260368386408854E-16,0.0
26,8.239936510889834E-16,-2.498001805406602E-16,8.61025938769036E-16,0.0
27,2.697495005143935E-16,2.255140518769849E-16,3.515983228369274E-16,0.0
28,-1.0629518099047885E-15,-9.332812300755222E-16,1.4145247981534808E-15,0.0
29,-3.8077180297690916E-16,2.7755575615628914E-16,4.711946134218594E-16,0.0
30,-3.9898639947466563E-17,1.0061396160665481E-16,1.0823618036425243E-16,0.0
31,-2.638948087829718E-16,-6.245004513516506E-17,2.711834770777626E-16,0.0
32,1.6682285408143496E-15,-1.3565537582138631E-15,2.150168496493177E-15,0.0
33,5.4643789493269423E-17,-3.95516952522712E-16,3.992738452028106E-16,0.0
34,-8.098990228466718E-16,-7.632783294297951E-16,1.1128927330992563E-15,0.0
35,-4.202367620553815E-16,3.642919299551295E-16,5.561542469614201E-16,0.0
36,-2.7885679876327174E-16,-1.2836953722228372E-16,3.0698510110942373E-16,0.0
37,3.217912047936977E-16,5.273559366969494E-16,6.177814042621357E-16,0.0
38,7.806255641895632E-17,2.636779683484747E-16,2.749906065796466E-16,0.0
39,1.231653667943533E-16,7.979727989493313E-17,1.467559656580198E-16,0.0
40,5.074066167232161E-16,2.8449465006019636E-16,5.817204488475321E-16,0.0
41,-1.1102230246251565E-16,-7.563394355258879E-16,7.644444344592333E-16,0.0
42,7.28583859910259E-17,3.885780586188048E-16,3.953495314897649E-16,0.0
43,-2.5673907444456745E-16,-4.198030811863873E-16,4.920869631683384E-16,0.0
44,-2.7929047963226594E-16,-6.175615574477433E-16,6.777797940706875E-16,0.0
45,1.1293049828609014E-15,8.222589276130066E-16,1.3969393288019894E-15,0.0
46,-6.626643678231403E-16,-1.1796119636642288E-15,1.3529997964531332E-15,0.0
47,-1.2802259252708836E-15,2.0296264668928643E-16,1.2962145870521632E-15,0.0
48,2.5691254679216513E-15,-1.2160411566597418E-15,2.8423866317962456E-15,0.0
49,3.469446951953614E-18,-1.214306433183765E-16,1.2148019673538234E-16,0.0
50,2.949029909160572E-15,-2.42861286636753E-17,2.949129909171361E-15,0.0
51,6.765421556309548E-16,9.107298248878237E-16,1.1345210893967485E-15,0.0
52,-2.123301534595612E-15,7.997075224253081E-16,2.2689075627357993E-15,0.0
53,1.4536982728685643E-15,1.2628786905111156E-15,1.9256430758289856E-15,0.0
54,-1.8735013540549517E-16,4.0245584642661925E-16,4.4392654973477755E-16,0.0
55,-2.39044894989604E-15,-4.975186929101483E-15,5.519667667673601E-15,0.0
56,1.124100812432971E-15,-1.3270634591222574E-15,1.739166484569547E-15,0.0
57,1.0408340855860843E-15,6.982261990806649E-16,1.2533377113932431E-15,0.0
58,-6.036837696399289E-16,-2.9646424204443633E-15,3.0254815773401907E-15,0.0
59,-2.060851489460447E-15,4.2847669856627135E-16,2.1049230728997183E-15,0.0
60,-8.708311849403572E-16,-2.435551760271437E-15,2.586553562102653E-15,0.0
61,1.4363510381087963E-15,-8.547849927875717E-16,1.6714549615742166E-15,0.0
