U, real, imaginary, magnitude, phase
0,-1.682681771697503E-16,0.0,1.682681771697503E-16,0.0
1,-8.673617379884035E-19,-4.1362312880321994E-17,4.13714061060798E-17,0.0
2,-5.204170427930421E-17,-3.5019730171281793E-17,6.2727350378953E-17,0.0
3,-8.413408858487514E-17,-2.4936649967166602E-17,8.775181692473728E-17,0.0
4,-1.3010426069826053E-17,-1.5178830414797062E-17,1.999170025984728E-17,0.0
5,-4.683753385137379E-17,-1.734723475976807E-17,4.9946782990389795E-17,0.0
6,-1.734723475976807E-18,-6.158268339717665E-17,6.160711127731117E-17,0.0
7,-1.0234868508263162E-16,-5.898059818321144E-17,1.1812689913899012E-16,0.0
8,0.5000000000000002,1.474514954580286E-17,0.5000000000000002,2.949029909160571E-17
9,-3.903127820947816E-17,-8.716985466783456E-17,9.550928877065875E-17,0.0
10,6.505213034913027E-17,-3.2959746043559335E-17,7.292547238253696E-17,0.0
11,-2.688821387764051E-16,-7.546047120499111E-17,2.792702763765834E-16,0.0
12,-1.240327285323417E-16,-7.892991815694472E-17,1.470171749403435E-16,0.0
13,-5.984795992119984E-17,0.0,5.984795992119984E-17,0.0
14,-1.0061396160665481E-16,-1.734723475976807E-17,1.0209846141835788E-16,0.0
15,-2.688821387764051E-17,-8.326672684688674E-17,8.75004219722613E-17,0.0
16,6.401129626354418E-16,-9.80118763926896E-17,6.475731100408187E-16,0.0
17,3.469446951953614E-18,2.393918396847994E-16,2.3941697928473055E-16,0.0
18,4.85722573273506E-17,6.591949208711867E-17,8.18818882225982E-17,0.0
19,-6.765421556309548E-17,-5.412337245047638E-16,5.454457236286268E-16,0.0
20,1.0408340855860843E-17,4.9439619065339E-17,5.052335591286087E-17,0.0
21,4.683753385137379E-17,-7.45931094670027E-17,8.807886555374583E-17,0.0
22,-1.196959198423997E-16,-7.19910242530375E-17,1.396775601158597E-16,0.0
23,5.334274688628682E-17,1.5612511283791264E-17,5.558056453438532E-17,0.0
24,-2.5240226575462543E-16,7.979727989493313E-17,2.6471590363387473E-16,0.0
25,-5.898059818321144E-17,1.682681771697503E-16,1.7830560958668664E-16,0.0
26,1.2663481374630692E-16,-1.691355389077387E-16,2.1128939058592845E-16,0.0
27,2.667137344314341E-17,5.204170427930421E-18,2.717435465998339E-17,0.0
28,-2.0903417885520525E-16,-3.0357660829594124E-16,3.68583837185161E-16,0.0
29,-1.5265566588595902E-16,8.500145032286355E-17,1.747254958043496E-16,0.0
30,-8.218252467440124E-17,-7.45931094670027E-17,1.1098693320303438E-16,0.0
31,-1.3075478200175183E-16,6.938893903907228E-18,1.3093876914396028E-16,0.0
32,5.504568084296551E-16,-1.5699247457590104E-16,5.724066168555592E-16,0.0
33,9.372927781137186E-17,-1.5699247457590104E-16,1.8284368896001376E-16,0.0
34,-2.4925807945441747E-16,-1.3791051634015616E-16,2.8486646115419267E-16,0.0
35,-1.6675029412827058E-16,1.4137996329210978E-16,2.1861828517382314E-16,0.0
36,-6.938893903907228E-17,-1.2750217548429532E-16,1.4516070272010992E-16,0.0
37,9.90960785651751E-17,1.7520707107365752E-16,2.0128971792221538E-16,0.0
38,9.93129189996722E-17,1.2750217548429532E-16,1.616163996426832E-16,0.0
39,6.331740687315346E-17,6.678685382510707E-17,9.203030944746779E-17,0.0
40,1.5612511283791264E-16,9.8879238130678E-17,1.8480301564626667E-16,0.0
41,-1.5222198501696482E-16,-2.42861286636753E-16,2.866236858135841E-16,0.0
42,9.150666335777657E-17,2.402592014227878E-16,2.570952222566362E-16,0.0
43,-7.19910242530375E-17,-7.025630077706069E-17,1.0059152733644246E-16,0.0
44,-9.80118763926896E-17,-1.9081958235744878E-16,2.14519092215791E-16,0.0
45,3.86843335142828E-16,8.153200337090993E-17,3.953419197582017E-16,0.0
46,-3.46077333457373E-16,-3.8163916471489756E-16,5.151873181448185E-16,0.0
47,-3.686287386450715E-16,1.0408340855860843E-16,3.8304112428332633E-16,0.0
48,8.595554823465079E-16,-3.668940151690947E-16,9.345837820114565E-16,0.0
49,1.0755285551056204E-16,0.0,1.0755285551056204E-16,0.0
50,8.265957363029486E-16,-2.5587171270657905E-16,8.652923463417504E-16,0.0
51,2.940356291780688E-16,3.452099717193846E-16,4.534609970004489E-16,0.0
52,-7.112366251504909E-16,2.3765711620882257E-16,7.498922868253505E-16,0.0
53,4.423544863740858E-16,4.141652298894627E-16,6.059788191551523E-16,0.0
54,3.2959746043559335E-17,1.431146867680866E-17,3.593275657312142E-17,0.0
55,-1.124100812432971E-15,-1.278924882663901E-15,1.7027188528965487E-15,0.0
56,1.8648277366750676E-16,-3.7773603689394974E-16,4.212604164208571E-16,0.0
57,1.8561541192951836E-16,2.3028454143592114E-16,2.9577702948355755E-16,0.0
58,-3.7470027081099033E-16,-8.617238866914789E-16,9.396639558057436E-16,0.0
59,-6.453171330633722E-16,1.5547459153442134E-16,6.637820055092825E-16,0.0
60,-5.551115123125783E-16,-7.082008590675315E-16,8.998317886616073E-16,0.0
61,3.452099717193846E-16,-2.940356291780688E-16,4.534609970004489E-16,0.0
62,1.2663481374630692E-16,4.187188790139018E-16,4.3744928356921603E-16,0.0
63,-1.5699247457590104E-16,-2.7755575615628914E-16,3.188790285499414E-16,0.0
64,6.245004513516506E-17,-4.328177795714471E-17,7.598236927416603E-17,0.0
65,3.8163916471489756E-17,-5.442694905877232E-17,6.647388437791976E-17,0.0
66,-2.0296264668928643E-16,-3.3068166260807885E-17,2.0563885715246655E-16,0.0
67,-1.9090631853124762E-15,4.544975507059235E-16,1.962419493664161E-15,0.0
68,-3.885780586188048E-16,2.4936649967166602E-17,3.893773801231195E-16,0.0
69,-8.795048023202412E-16,-3.9898639947466563E-16,9.657737024117628E-16,0.0
70,3.209238430557093E-17,-3.1008182133085427E-16,3.117381225488411E-16,0.0
71,1.1796119636642288E-16,5.767955557622884E-17,1.3130793951497773E-16,0.0
72,3.7556763254897874E-16,-2.8189256484623115E-16,4.69589676988359E-16,0.0
73,3.426078865054194E-16,-4.0766001685454967E-17,3.450246814202266E-16,0.0
74,6.539907504432563E-16,2.216109240560371E-16,6.905181412000008E-16,0.0
75,3.157196726277789E-16,5.230191280070073E-16,6.10923824994084E-16,0.0
76,-3.200564813177209E-16,-1.8041124150158794E-16,3.67402187382744E-16,0.0
77,3.3480163086352377E-16,-1.8214596497756474E-16,3.811420792650471E-16,0.0
78,-4.683753385137379E-17,-5.707240235963695E-16,5.726427033389214E-16,0.0
79,-6.331740687315346E-16,-1.777224201138239E-15,1.886646565317812E-15,0.0
80,-2.3071822230491534E-16,4.683753385137379E-17,2.354244096962312E-16,0.0
81,3.235259282696745E-16,-6.045511313779173E-16,6.856756497886405E-16,0.0
82,-6.071532165918825E-17,-3.608224830031759E-16,3.65895086773184E-16,0.0
83,-5.100087019371813E-16,-8.673617379884035E-19,5.100094394891463E-16,0.0
84,1.2576745200831851E-16,2.8622937353617317E-16,3.1264149798063413E-16,0.0
85,5.160802341031001E-17,4.9439619065339E-17,7.146792296999359E-17,0.0
86,7.572067972638763E-16,8.933825901280557E-17,7.624588240331777E-16,0.0
87,-1.1214987272190058E-15,-3.0617869350990645E-16,1.1625423809536077E-15,0.0
88,1.6783449630075609E-16,-2.931682674400804E-16,3.378106735767048E-16,0.0
89,-4.102621020685149E-16,3.2439329000766293E-16,5.230162511774105E-16,0.0
90,-9.410874857174178E-17,-3.3393426912553537E-16,3.469417136265756E-16,0.0
91,9.855397747893235E-16,-1.4519635493925875E-15,1.75484665895813E-15,0.0
92,-1.682681771697503E-16,-1.6436504934880247E-15,1.6522412427340803E-15,0.0
93,8.300651832549022E-16,-2.5673907444456745E-16,8.68863142732299E-16,0.0
94,2.7929047963226594E-16,-1.448494102440634E-16,3.146180599731588E-16,0.0
95,2.8059152223924855E-16,-5.282232984349378E-16,5.981232777296199E-16,0.0
96,-1.239350770223406E-15,-3.7296554733501353E-16,1.294254082918905E-15,0.0
97,-1.5494875348076587E-15,5.022024462952857E-16,1.62883974582808E-15,0.0
98,5.96419615084276E-16,-6.800116025829084E-16,9.04506570957144E-16,0.0
99,-8.625912484294673E-16,-2.393918396847994E-16,8.951938978650266E-16,0.0
100,-1.0000680839006293E-15,-3.426078865054194E-16,1.0571264523851374E-15,0.0
101,-1.3856103764364747E-16,-5.915407053080912E-16,6.075521106779881E-16,0.0
102,2.615963001773025E-15,-1.790234627208065E-15,3.1698899739738816E-15,0.0
103,1.6106907474444654E-15,-1.97758476261356E-16,1.622785598542341E-15,0.0
104,1.2650470948560866E-15,-8.352693536828326E-16,1.5159218467340463E-15,0.0
105,2.255140518769849E-16,4.657732532997727E-16,5.174952280779308E-16,0.0
106,-4.128641872824801E-16,1.0599160438218291E-15,1.1374879590972998E-15,0.0
107,-2.0196518069059977E-15,5.421010862427522E-16,2.0911401217623447E-15,0.0
108,-2.7044338990478423E-15,-4.692427002517263E-16,2.7448408744513126E-15,0.0
109,4.562322741819003E-16,-1.5256892971216018E-15,1.5924433174705454E-15,0.0
110,-8.153200337090993E-17,-2.0209528495129803E-16,2.1792193963256754E-16,0.0
111,4.423544863740858E-17,-1.3487475025719675E-15,1.3494727120658174E-15,0.0
112,4.787836793695988E-16,9.84455572616838E-16,1.0947084479837712E-15,0.0
113,1.5161483180037294E-15,-4.709774237277031E-16,1.5876162810473827E-15,0.0
114,1.0495077029659683E-15,-7.407269242420966E-16,1.2845788394964554E-15,0.0
115,-1.4545656346065527E-15,2.684484579074109E-15,3.053230852828698E-15,0.0
116,4.779163176316104E-16,5.559788740505667E-16,7.331551780142415E-16,0.0
117,1.412064909445121E-15,2.1684043449710089E-16,1.4286171924344005E-15,0.0
118,-2.38524477946811E-16,1.0191500421363742E-16,2.5938503168776807E-16,0.0
119,5.584074869169342E-15,6.938893903907228E-17,5.584505973615712E-15,0.0
120,0.5000000000000011,2.201450827188367E-14,0.5000000000000011,4.4029016543767246E-14
121,-7.806255641895632E-18,1.8995222061946038E-16,1.9011255546494235E-16,0.0
122,-8.708311849403572E-16,1.319690884349356E-15,1.5811170048100209E-15,0.0
123,-2.862293735361732E-17,-1.1557595158695477E-16,1.1906751499875696E-16,0.0
124,-1.1986939218999737E-15,-1.5588658835996583E-15,1.9664511083296435E-15,0.0
125,5.84601811404184E-16,4.623038063478191E-16,7.453080485683319E-16,0.0
126,-1.1449174941446927E-16,4.942877704361415E-16,5.073743792178684E-16,0.0
127,5.724587470723463E-16,-4.454986726742938E-16,7.253813372662672E-16,0.0
