u, transferValue
0,NaN
1,0.0
2,-0.0
3,-0.0
4,0.0
5,0.0
6,0.0
7,-0.0
8,0.0
9,0.0
10,-0.0
11,-0.0
12,0.0
13,0.0
14,-0.0
15,-0.0
16,-0.0
17,0.0
18,-0.0
19,-0.0
20,-0.0
21,0.0
22,0.0
23,-2.021340886989163E-6
24,4.831872618776706E9
25,0.0048453493103554615
26,6.594348832056523E12
27,-1.12777160643224
28,6.686520950166668E14
29,39.064215466087674
30,7.824284180197087E15
31,-238.29279402468458
32,8.505264460765344E15
33,399.9219880666931
34,2.4846597112183336E16
35,-390.64648531229756
36,6.8106147734472077E17
37,354.10579258292574
38,-4.5160253822053672E16
39,-319.5657348627345
40,-2.636776110255392E17
41,287.3330560611912
42,5.7563422125293768E16
43,-257.0453389195298
44,1.4093113692744336E17
45,228.39779118022508
46,1.27718842840495552E17
47,-201.13286815831887
48,-2.40411939464462208E17
49,175.03010311682164
50,6.8116716181597624E16
51,-149.89825032981844
52,2.04350148544792883E18
53,125.5691156855625
54,8.69575100190608E16
55,-101.89262852523356
56,-2.961596355721636E16
57,78.7328300425327
58,-1.02175074272396442E18
59,-55.964537172926256
60,-1.02175074272396442E18
61,33.47049868137545
62,8.1740059417917158E17
63,-11.138899968019311
64,7.08982
65,-11.138899968019311
66,8.1740059417917158E17
67,33.47049868137545
68,-1.02175074272396442E18
69,-55.964537172926256
70,-1.02175074272396442E18
71,78.7328300425327
72,-2.961596355721636E16
73,-101.89262852523356
74,8.69575100190608E16
75,125.5691156855625
76,2.04350148544792883E18
77,-149.89825032981844
78,6.8116716181597624E16
79,175.03010311682164
80,-2.40411939464462208E17
81,-201.13286815831887
82,1.27718842840495552E17
83,228.39779118022508
84,1.4093113692744336E17
85,-257.0453389195298
86,5.7563422125293768E16
87,287.3330560611912
88,-2.636776110255392E17
89,-319.5630304296048
90,-4.5153247116777064E16
91,353.42153114694116
92,6.7085812202895014E17
93,-362.33865697156364
94,1.9299834819124504E16
95,216.00162349696348
96,2.612674653158309E15
97,-35.39309112773303
98,5.0387225082722344E14
99,1.0203055266470364
100,6.808219604988087E12
101,-0.004372689014242907
102,9.53725642554355E9
103,1.8174603564724163E-6
104,0.0
105,-0.0
106,0.0
107,0.0
108,-0.0
109,-0.0
110,-0.0
111,0.0
112,-0.0
113,-0.0
114,-0.0
115,0.0
116,0.0
117,-0.0
118,-0.0
119,0.0
120,0.0
121,-0.0
122,0.0
123,0.0
124,0.0
125,-0.0
126,-0.0
127,0.0
